3/10/2014 5:54:00 PM: 	RKWI8
3/10/2014 5:54:02 PM: 	-45
3/10/2014 5:54:04 PM: 	-45
3/10/2014 5:54:06 PM: 	-47
3/10/2014 5:54:08 PM: 	-51
3/10/2014 5:54:10 PM: 	-45
3/10/2014 5:54:12 PM: 	-49
3/10/2014 5:54:14 PM: 	-53
3/10/2014 5:54:16 PM: 	-51
3/10/2014 5:54:18 PM: 	-37
3/10/2014 5:54:20 PM: 	-37
3/10/2014 5:54:22 PM: 	-35
3/10/2014 5:54:24 PM: 	-35
3/10/2014 5:54:26 PM: 	-37
3/10/2014 5:54:28 PM: 	-37
3/10/2014 5:54:30 PM: 	-37
3/10/2014 5:54:32 PM: 	-37
3/10/2014 5:54:34 PM: 	-41
3/10/2014 5:54:36 PM: 	-41
3/10/2014 5:54:38 PM: 	-45
3/10/2014 5:54:40 PM: 	-43
3/10/2014 5:54:42 PM: 	-41
3/10/2014 5:54:44 PM: 	-43
3/10/2014 5:54:46 PM: 	-41
3/10/2014 5:54:48 PM: 	-51
3/10/2014 5:54:50 PM: 	-45
3/10/2014 5:54:52 PM: 	-41
3/10/2014 5:54:54 PM: 	-39
3/10/2014 5:54:56 PM: 	-37
3/10/2014 5:54:58 PM: 	-37
3/10/2014 5:55:00 PM: 	-37
3/10/2014 5:55:02 PM: 	-37
3/10/2014 5:55:04 PM: 	-37
3/10/2014 5:55:06 PM: 	-39
3/10/2014 5:55:08 PM: 	-39
3/10/2014 5:55:10 PM: 	-43
3/10/2014 5:55:12 PM: 	-51
3/10/2014 5:55:14 PM: 	-49
3/10/2014 5:55:16 PM: 	-51
3/10/2014 5:55:18 PM: 	-45
3/10/2014 5:55:20 PM: 	-45
3/10/2014 5:55:22 PM: 	-45
