3/10/2014 5:09:45 PM: 	RKWI8
3/10/2014 5:09:47 PM: 	-47
3/10/2014 5:09:49 PM: 	-43
3/10/2014 5:09:51 PM: 	-47
3/10/2014 5:09:53 PM: 	-45
3/10/2014 5:09:55 PM: 	-45
3/10/2014 5:09:57 PM: 	-45
3/10/2014 5:09:59 PM: 	-43
3/10/2014 5:10:01 PM: 	-41
3/10/2014 5:10:03 PM: 	-41
3/10/2014 5:10:05 PM: 	-37
3/10/2014 5:10:07 PM: 	-37
3/10/2014 5:10:09 PM: 	-39
3/10/2014 5:10:11 PM: 	-37
3/10/2014 5:10:13 PM: 	-37
3/10/2014 5:10:15 PM: 	-37
3/10/2014 5:10:17 PM: 	-41
3/10/2014 5:10:19 PM: 	-39
3/10/2014 5:10:21 PM: 	-43
3/10/2014 5:10:23 PM: 	-41
3/10/2014 5:10:25 PM: 	-39
3/10/2014 5:10:27 PM: 	-37
3/10/2014 5:10:29 PM: 	-37
3/10/2014 5:10:31 PM: 	-37
3/10/2014 5:10:33 PM: 	-37
3/10/2014 5:10:35 PM: 	-39
3/10/2014 5:10:37 PM: 	-39
3/10/2014 5:10:39 PM: 	-41
3/10/2014 5:10:41 PM: 	-41
3/10/2014 5:10:43 PM: 	-41
3/10/2014 5:10:45 PM: 	-39
3/10/2014 5:10:47 PM: 	-41
3/10/2014 5:10:49 PM: 	-41
3/10/2014 5:10:51 PM: 	-41
3/10/2014 5:10:53 PM: 	-41
3/10/2014 5:10:55 PM: 	-43
3/10/2014 5:10:57 PM: 	-49
3/10/2014 5:10:59 PM: 	-57
3/10/2014 5:11:01 PM: 	-49
3/10/2014 5:11:03 PM: 	-45
3/10/2014 5:11:05 PM: 	-47
3/10/2014 5:11:07 PM: 	-45
