3/10/2014 5:26:32 PM: 	RKWI8
3/10/2014 5:26:34 PM: 	-49
3/10/2014 5:26:36 PM: 	-45
3/10/2014 5:26:38 PM: 	-51
3/10/2014 5:26:40 PM: 	-49
3/10/2014 5:26:42 PM: 	-53
3/10/2014 5:26:44 PM: 	-51
3/10/2014 5:26:46 PM: 	-45
3/10/2014 5:26:48 PM: 	-43
3/10/2014 5:26:50 PM: 	-39
3/10/2014 5:26:52 PM: 	-41
3/10/2014 5:26:54 PM: 	-41
3/10/2014 5:26:56 PM: 	-41
3/10/2014 5:26:58 PM: 	-43
3/10/2014 5:27:00 PM: 	-45
3/10/2014 5:27:02 PM: 	-47
3/10/2014 5:27:04 PM: 	-45
3/10/2014 5:27:06 PM: 	-43
3/10/2014 5:27:08 PM: 	-41
3/10/2014 5:27:10 PM: 	-41
3/10/2014 5:27:12 PM: 	-43
3/10/2014 5:27:14 PM: 	-43
3/10/2014 5:27:16 PM: 	-43
3/10/2014 5:27:18 PM: 	-43
3/10/2014 5:27:20 PM: 	-45
3/10/2014 5:27:22 PM: 	-43
3/10/2014 5:27:24 PM: 	-47
3/10/2014 5:27:26 PM: 	-43
3/10/2014 5:27:28 PM: 	-47
3/10/2014 5:27:30 PM: 	-43
3/10/2014 5:27:33 PM: 	-45
3/10/2014 5:27:35 PM: 	-39
3/10/2014 5:27:37 PM: 	-39
3/10/2014 5:27:39 PM: 	-39
3/10/2014 5:27:41 PM: 	-41
3/10/2014 5:27:43 PM: 	-45
3/10/2014 5:27:45 PM: 	-47
3/10/2014 5:27:47 PM: 	-51
3/10/2014 5:27:49 PM: 	-53
3/10/2014 5:27:51 PM: 	-49
3/10/2014 5:27:53 PM: 	-49
3/10/2014 5:27:55 PM: 	-49
