3/10/2014 5:52:05 PM: 	RKWI8
3/10/2014 5:52:07 PM: 	-47
3/10/2014 5:52:09 PM: 	-47
3/10/2014 5:52:11 PM: 	-43
3/10/2014 5:52:13 PM: 	-49
3/10/2014 5:52:15 PM: 	-49
3/10/2014 5:52:17 PM: 	-47
3/10/2014 5:52:19 PM: 	-51
3/10/2014 5:52:21 PM: 	-45
3/10/2014 5:52:23 PM: 	-43
3/10/2014 5:52:25 PM: 	-41
3/10/2014 5:52:27 PM: 	-37
3/10/2014 5:52:29 PM: 	-37
3/10/2014 5:52:31 PM: 	-37
3/10/2014 5:52:33 PM: 	-39
3/10/2014 5:52:35 PM: 	-39
3/10/2014 5:52:37 PM: 	-43
3/10/2014 5:52:39 PM: 	-41
3/10/2014 5:52:41 PM: 	-43
3/10/2014 5:52:43 PM: 	-39
3/10/2014 5:52:45 PM: 	-37
3/10/2014 5:52:47 PM: 	-37
3/10/2014 5:52:49 PM: 	-37
3/10/2014 5:52:51 PM: 	-37
3/10/2014 5:52:53 PM: 	-37
3/10/2014 5:52:55 PM: 	-41
3/10/2014 5:52:57 PM: 	-41
3/10/2014 5:52:59 PM: 	-47
3/10/2014 5:53:01 PM: 	-47
3/10/2014 5:53:03 PM: 	-39
3/10/2014 5:53:05 PM: 	-39
3/10/2014 5:53:07 PM: 	-39
3/10/2014 5:53:09 PM: 	-37
3/10/2014 5:53:11 PM: 	-37
3/10/2014 5:53:13 PM: 	-37
3/10/2014 5:53:15 PM: 	-37
3/10/2014 5:53:18 PM: 	-39
3/10/2014 5:53:20 PM: 	-43
3/10/2014 5:53:22 PM: 	-49
3/10/2014 5:53:24 PM: 	-43
3/10/2014 5:53:26 PM: 	-45
3/10/2014 5:53:28 PM: 	-45
3/10/2014 5:53:30 PM: 	-47
