3/10/2014 5:20:01 PM: 	RKWI8
3/10/2014 5:20:03 PM: 	-49
3/10/2014 5:20:06 PM: 	-49
3/10/2014 5:20:08 PM: 	-47
3/10/2014 5:20:10 PM: 	-47
3/10/2014 5:20:12 PM: 	-45
3/10/2014 5:20:14 PM: 	-45
3/10/2014 5:20:16 PM: 	-45
3/10/2014 5:20:18 PM: 	-43
3/10/2014 5:20:20 PM: 	-39
3/10/2014 5:20:22 PM: 	-39
3/10/2014 5:20:24 PM: 	-39
3/10/2014 5:20:26 PM: 	-39
3/10/2014 5:20:28 PM: 	-39
3/10/2014 5:20:30 PM: 	-45
3/10/2014 5:20:32 PM: 	-55
3/10/2014 5:20:34 PM: 	-57
3/10/2014 5:20:36 PM: 	-51
3/10/2014 5:20:38 PM: 	-47
3/10/2014 5:20:40 PM: 	-43
3/10/2014 5:20:42 PM: 	-41
3/10/2014 5:20:44 PM: 	-43
3/10/2014 5:20:46 PM: 	-43
3/10/2014 5:20:48 PM: 	-47
3/10/2014 5:20:50 PM: 	-51
3/10/2014 5:20:52 PM: 	-57
3/10/2014 5:20:54 PM: 	-51
3/10/2014 5:20:56 PM: 	-47
3/10/2014 5:20:58 PM: 	-43
3/10/2014 5:21:00 PM: 	-41
3/10/2014 5:21:02 PM: 	-41
3/10/2014 5:21:04 PM: 	-39
3/10/2014 5:21:06 PM: 	-41
3/10/2014 5:21:08 PM: 	-41
3/10/2014 5:21:10 PM: 	-43
3/10/2014 5:21:12 PM: 	-47
3/10/2014 5:21:14 PM: 	-47
3/10/2014 5:21:16 PM: 	-51
3/10/2014 5:21:18 PM: 	-47
3/10/2014 5:21:20 PM: 	-55
3/10/2014 5:21:22 PM: 	-53
3/10/2014 5:21:24 PM: 	-51
3/10/2014 5:21:26 PM: 	-49
