3/10/2014 5:24:31 PM: 	RKWI8
3/10/2014 5:24:33 PM: 	-45
3/10/2014 5:24:35 PM: 	-45
3/10/2014 5:24:37 PM: 	-47
3/10/2014 5:24:39 PM: 	-47
3/10/2014 5:24:41 PM: 	-45
3/10/2014 5:24:43 PM: 	-43
3/10/2014 5:24:45 PM: 	-39
3/10/2014 5:24:47 PM: 	-39
3/10/2014 5:24:49 PM: 	-37
3/10/2014 5:24:51 PM: 	-39
3/10/2014 5:24:53 PM: 	-43
3/10/2014 5:24:55 PM: 	-47
3/10/2014 5:24:57 PM: 	-45
3/10/2014 5:24:59 PM: 	-45
3/10/2014 5:25:01 PM: 	-41
3/10/2014 5:25:03 PM: 	-43
3/10/2014 5:25:05 PM: 	-45
3/10/2014 5:25:07 PM: 	-43
3/10/2014 5:25:09 PM: 	-43
3/10/2014 5:25:11 PM: 	-43
3/10/2014 5:25:13 PM: 	-41
3/10/2014 5:25:15 PM: 	-41
3/10/2014 5:25:17 PM: 	-43
3/10/2014 5:25:19 PM: 	-49
3/10/2014 5:25:21 PM: 	-53
3/10/2014 5:25:23 PM: 	-53
3/10/2014 5:25:25 PM: 	-45
3/10/2014 5:25:27 PM: 	-45
3/10/2014 5:25:29 PM: 	-43
3/10/2014 5:25:31 PM: 	-43
3/10/2014 5:25:33 PM: 	-43
3/10/2014 5:25:35 PM: 	-43
3/10/2014 5:25:37 PM: 	-45
3/10/2014 5:25:39 PM: 	-47
3/10/2014 5:25:41 PM: 	-55
3/10/2014 5:25:43 PM: 	-55
3/10/2014 5:25:45 PM: 	-49
3/10/2014 5:25:47 PM: 	-45
3/10/2014 5:25:49 PM: 	-47
