3/10/2014 5:47:30 PM: 	RKWI8
3/10/2014 5:47:32 PM: 	-47
3/10/2014 5:47:34 PM: 	-47
3/10/2014 5:47:36 PM: 	-47
3/10/2014 5:47:38 PM: 	-51
3/10/2014 5:47:40 PM: 	-47
3/10/2014 5:47:42 PM: 	-49
3/10/2014 5:47:44 PM: 	-49
3/10/2014 5:47:46 PM: 	-43
3/10/2014 5:47:48 PM: 	-41
3/10/2014 5:47:50 PM: 	-41
3/10/2014 5:47:52 PM: 	-43
3/10/2014 5:47:54 PM: 	-43
3/10/2014 5:47:56 PM: 	-39
3/10/2014 5:47:58 PM: 	-43
3/10/2014 5:48:00 PM: 	-39
3/10/2014 5:48:02 PM: 	-39
3/10/2014 5:48:04 PM: 	-37
3/10/2014 5:48:06 PM: 	-39
3/10/2014 5:48:08 PM: 	-37
3/10/2014 5:48:10 PM: 	-37
3/10/2014 5:48:12 PM: 	-39
3/10/2014 5:48:14 PM: 	-37
3/10/2014 5:48:16 PM: 	-41
3/10/2014 5:48:18 PM: 	-43
3/10/2014 5:48:20 PM: 	-45
3/10/2014 5:48:22 PM: 	-47
3/10/2014 5:48:24 PM: 	-45
3/10/2014 5:48:26 PM: 	-43
3/10/2014 5:48:28 PM: 	-43
3/10/2014 5:48:30 PM: 	-39
3/10/2014 5:48:32 PM: 	-39
3/10/2014 5:48:34 PM: 	-37
3/10/2014 5:48:36 PM: 	-39
3/10/2014 5:48:38 PM: 	-43
3/10/2014 5:48:40 PM: 	-43
3/10/2014 5:48:42 PM: 	-45
3/10/2014 5:48:44 PM: 	-53
3/10/2014 5:48:46 PM: 	-55
3/10/2014 5:48:48 PM: 	-51
3/10/2014 5:48:51 PM: 	-47
3/10/2014 5:48:53 PM: 	-51
3/10/2014 5:48:55 PM: 	-49
3/10/2014 5:48:57 PM: 	-49
