3/10/2014 5:50:18 PM: 	RKWI8
3/10/2014 5:50:20 PM: 	-39
3/10/2014 5:50:22 PM: 	-47
3/10/2014 5:50:24 PM: 	-41
3/10/2014 5:50:26 PM: 	-41
3/10/2014 5:50:28 PM: 	-43
3/10/2014 5:50:30 PM: 	-47
3/10/2014 5:50:32 PM: 	-47
3/10/2014 5:50:34 PM: 	-45
3/10/2014 5:50:36 PM: 	-41
3/10/2014 5:50:38 PM: 	-41
3/10/2014 5:50:40 PM: 	-39
3/10/2014 5:50:42 PM: 	-39
3/10/2014 5:50:44 PM: 	-37
3/10/2014 5:50:46 PM: 	-39
3/10/2014 5:50:48 PM: 	-37
3/10/2014 5:50:50 PM: 	-43
3/10/2014 5:50:52 PM: 	-45
3/10/2014 5:50:54 PM: 	-45
3/10/2014 5:50:56 PM: 	-43
3/10/2014 5:50:58 PM: 	-41
3/10/2014 5:51:00 PM: 	-39
3/10/2014 5:51:02 PM: 	-39
3/10/2014 5:51:04 PM: 	-39
3/10/2014 5:51:06 PM: 	-41
3/10/2014 5:51:08 PM: 	-41
3/10/2014 5:51:10 PM: 	-41
3/10/2014 5:51:12 PM: 	-43
3/10/2014 5:51:14 PM: 	-45
3/10/2014 5:51:16 PM: 	-45
3/10/2014 5:51:18 PM: 	-43
3/10/2014 5:51:20 PM: 	-45
3/10/2014 5:51:22 PM: 	-41
3/10/2014 5:51:24 PM: 	-39
3/10/2014 5:51:26 PM: 	-39
3/10/2014 5:51:28 PM: 	-39
3/10/2014 5:51:30 PM: 	-43
3/10/2014 5:51:32 PM: 	-45
3/10/2014 5:51:34 PM: 	-47
3/10/2014 5:51:36 PM: 	-51
3/10/2014 5:51:38 PM: 	-49
3/10/2014 5:51:40 PM: 	-45
3/10/2014 5:51:42 PM: 	-47
3/10/2014 5:51:44 PM: 	-45
