3/10/2014 5:56:00 PM: 	RKWI8
3/10/2014 5:56:02 PM: 	-41
3/10/2014 5:56:04 PM: 	-43
3/10/2014 5:56:06 PM: 	-45
3/10/2014 5:56:08 PM: 	-43
3/10/2014 5:56:10 PM: 	-41
3/10/2014 5:56:12 PM: 	-41
3/10/2014 5:56:14 PM: 	-45
3/10/2014 5:56:16 PM: 	-49
3/10/2014 5:56:18 PM: 	-43
3/10/2014 5:56:20 PM: 	-41
3/10/2014 5:56:22 PM: 	-37
3/10/2014 5:56:24 PM: 	-37
3/10/2014 5:56:26 PM: 	-37
3/10/2014 5:56:28 PM: 	-35
3/10/2014 5:56:30 PM: 	-37
3/10/2014 5:56:32 PM: 	-37
3/10/2014 5:56:34 PM: 	-37
3/10/2014 5:56:36 PM: 	-39
3/10/2014 5:56:38 PM: 	-41
3/10/2014 5:56:40 PM: 	-43
3/10/2014 5:56:42 PM: 	-41
3/10/2014 5:56:44 PM: 	-41
3/10/2014 5:56:46 PM: 	-43
3/10/2014 5:56:48 PM: 	-43
3/10/2014 5:56:50 PM: 	-45
3/10/2014 5:56:52 PM: 	-45
3/10/2014 5:56:54 PM: 	-41
3/10/2014 5:56:56 PM: 	-39
3/10/2014 5:56:58 PM: 	-37
3/10/2014 5:57:00 PM: 	-35
3/10/2014 5:57:02 PM: 	-37
3/10/2014 5:57:04 PM: 	-37
3/10/2014 5:57:06 PM: 	-37
3/10/2014 5:57:08 PM: 	-39
3/10/2014 5:57:10 PM: 	-39
3/10/2014 5:57:12 PM: 	-43
3/10/2014 5:57:14 PM: 	-47
3/10/2014 5:57:16 PM: 	-47
3/10/2014 5:57:18 PM: 	-51
3/10/2014 5:57:20 PM: 	-51
3/10/2014 5:57:22 PM: 	-47
3/10/2014 5:57:24 PM: 	-47
